Text,Converted_Text
I am so happy today 😊,I am so happy today  smiling_face_with_smiling_eyes 
She looks sad 😢,She looks sad  crying_face 
That was a funny joke 😂,That was a funny joke  face_with_tears_of_joy 
I am feeling confused 😕,I am feeling confused  confused_face 
It's a big surprise 😲,It's a big surprise  astonished_face 
Oh no! I'm shocked 😱,Oh no! I'm shocked  face_screaming_in_fear 
This is amazing ❤️,This is amazing  red_heart 
He is angry 😡,He is angry  enraged_face 
That made me laugh 🤣,That made me laugh  rolling_on_the_floor_laughing 
I don't know what to say 😐,I don't know what to say  neutral_face 
She just gave me a gift 🎁,She just gave me a gift  wrapped_gift 
They are celebrating 🎉,They are celebrating  party_popper 
It's raining heavily 🌧️,It's raining heavily  cloud_with_rain 
Good morning! ☀️,Good morning!  sun 
I love ice cream 🍦,I love ice cream  soft_ice_cream 
Let's go for a ride 🚗,Let's go for a ride  automobile 
He is studying 📚,He is studying  books 
They are travelling by plane ✈️,They are travelling by plane  airplane 
Cooking dinner 🍲,Cooking dinner  pot_of_food 
Time to sleep 😴,Time to sleep  sleeping_face 
